2025-10-21 13:25:54 | 127.0.0.1 | 200 |            0s | POST /token
2025-10-21 13:25:55 | 127.0.0.1 | 200 |      3.0094ms | GET /events
2025-10-21 13:26:00 | 127.0.0.1 | 204 |      1.0013ms | GET /.well-known/appspecific/com.chrome.devtools.json
2025-10-21 13:32:53 | 127.0.0.1 | 200 |            0s | GET /static/index.html
2025-10-21 13:32:56 | 127.0.0.1 | 200 |            0s | GET /static/demo.html
2025-10-21 13:33:02 | 127.0.0.1 | 200 |            0s | POST /token
2025-10-21 13:33:03 | 127.0.0.1 | 200 |      4.0549ms | GET /events
2025-10-21 13:33:07 | 127.0.0.1 | 204 |            0s | GET /.well-known/appspecific/com.chrome.devtools.json
2025-10-21 13:39:29 | 127.0.0.1 | 200 |            0s | GET /static/demo.html
2025-10-21 13:39:29 | 127.0.0.1 | 204 |            0s | GET /.well-known/appspecific/com.chrome.devtools.json
2025-10-21 13:39:30 | 127.0.0.1 | 200 |            0s | GET /favicon.ico
2025-10-21 13:39:38 | 127.0.0.1 | 200 |            0s | POST /token
2025-10-21 13:39:43 | 127.0.0.1 | 200 |      3.7466ms | GET /events
